40	0	0
49	0	0
50	0	0
54	0	0
55	0	0
58	0	0
61	0	0
62	0	0
64	0	0
65	0	0
66	0	0
67	0	0
68	0	0
71	0	0
72	0	0
73	0	0
75	0	0
79	0	0
80	0	0
81	0	0
86	0	0
88	0	0
92	0	0
93	0	0
96	0	0
402	0	0
412	0	0
414	0	0
416	0	0
419	0	0
426	0	0
427	0	0
430	0	0
435	0	0
437	0	0
439	0	0
450	0	0
472	0	0
475	0	0
488	0	0
700	0	0
703	0	0
707	0	0
710	0	0
722	0	0
725	0	0
727	0	0
728	0	0
729	0	0
732	0	0
737	0	0
748	0	0
781	0	0
786	0	0
803	0	0
805	0	0
806	0	0
808	0	0
811	0	0
901	0	0
1001	0	0
1104	0	0
1105	0	0
1107	0	0
1110	0	0
1116	0	0
1121	0	0
1125	0	0
1130	0	0
1134	0	0
1135	0	0
1138	0	0
1140	0	0
1141	0	0
1142	0	0
1143	0	0
1412	0	0
1475	0	0
1511	0	0
1600	0	0
1601	0	0
1602	0	0
1611	0	0
1612	0	0
1616	0	0
1640	0	0
1671	0	0
1672	0	0
1676	0	0
1692	0	0
